Actual_Values,Lower_5%,Upper_5%
7801.89,7698.58,7845.5644999999995
7581.26,7443.122249999999,7519.0695
10962.05,10857.31,10943.74
7884.25,7904.356,7978.04025
7801.92,7638.7995,7711.856
6038.58,5980.2302500000005,6025.03125
10792.03,10748.783000000001,10784.07
5815.82,5615.23,5684.18
9512.61,9566.0065,9661.60675
8188.09,8182.6404999999995,8228.003999999999
8704.5,8496.502,8743.62
7258.9,7124.65,7181.56
8805.83,8761.1275,8823.263500000001
8001.6,7864.947,7965.12
6459.06,6286.8195000000005,6348.899
8034.56,7946.0455,8076.98425
6143.96,6080.137,6162.62
10059.98,9807.179,9894.6455
7267.31,7240.086249999999,7279.50925
7857.9,7821.1695,7885.558
9896.04,9775.294,9934.28
8027.61,8025.27075,8073.0945
6578.27,6640.91475,6704.325
7034.53,7061.0,7109.932250000001
6675.19,6487.77,6512.94
7216.5,7136.376499999999,7230.98475
7078.12,7005.1900000000005,7083.4065
6312.41,6290.112,6349.1
8673.62,8634.6465,8681.0795
7286.21,7167.7339999999995,7276.248500000001
8943.8,8927.5565,8971.211249999998
6774.43,6717.92,6732.20225
5989.21,5927.9305,5995.55
10349.49,10197.29,10310.291500000001
8233.19,8082.601500000001,8192.512
8359.98,8312.50075,8365.55
7067.67,7024.900500000001,7075.637500000001
6064.51,5995.0625,6038.5175
7764.72,7776.1092499999995,7840.33
7131.15,7044.45775,7101.1685
7393.54,7304.8875,7373.506
7728.72,7580.18,7736.62
6500.49,6469.2855,6555.27075
7896.49,7812.296,7837.49
7007.92,6902.5235,6958.49
8437.7,8447.2245,8477.6
8001.39,7904.09,8026.74
6222.04,6225.4797499999995,6232.72
6799.12,6708.49175,6796.2575
7325.83,7260.98,7293.62
8116.61,7878.415,7985.3585
9387.89,8961.9,9071.504
6012.78,5936.444750000001,5968.9
8767.42,8569.00225,8667.0995
6026.25,5935.96875,6058.97
7519.38,7442.48425,7492.03
8036.27,7894.752,7933.9205
6841.66,6773.214999999999,6828.88
6490.37,6355.05725,6444.26825
8416.28,8409.60375,8459.65
6061.48,5961.683,6009.846
9849.5,9600.84,9722.90875
9116.49,9133.9,9241.746
6497.65,6545.99225,6594.5035
6028.38,5967.55475,6020.995
7366.55,7367.3,7407.71875
6741.02,6680.47,6716.25
9128.21,9003.2245,9085.5605
8709.74,8457.25775,8536.184
8481.72,8374.33,8451.32225
8095.2,7979.425,8000.6539999999995
7220.12,7131.838,7183.561
7861.43,7771.9465,7831.307000000001
6405.74,6302.732,6351.5
6828.09,6822.3305,6848.13225
7035.59,7024.81125,7072.2995
8030.6,7806.174,7886.71525
10077.17,9633.7505,9704.218
6967.04,6989.34,7124.55
9863.19,9868.53,9994.8785
6688.38,6714.3945,6938.487
9710.61,9573.197,9714.599999999999
9693.76,9575.053,9734.5
7068.74,7009.4349999999995,7066.92375
6428.64,6356.378500000001,6438.31
6274.7,6194.6715,6233.815
9465.31,9396.563750000001,9539.65
6839.04,6813.81,6887.775250000001
8902.04,8898.36625,8947.86
7087.3,7052.067,7092.28525
6665.98,6460.994,6590.852
7191.76,7083.5689999999995,7276.0095
7671.57,7674.547500000001,7758.464499999999
7430.59,7419.983499999999,7480.7845
6180.51,5990.75,6202.19125
7114.99,6978.0599999999995,7015.735750000001
6335.72,6363.4595,6413.7665
9080.31,9036.2485,9054.69
8379.94,8305.645,8389.39
9904.69,9855.7955,9929.31
8501.58,8457.25125,8594.8855
7219.69,7105.278,7246.82
7521.27,7539.84025,7627.0795
