,prediction,target
772,6233.909603050513,6234.22
773,6092.046040002067,6033.33
774,5927.670662347846,5990.86
775,5982.722132118866,5985.69
776,6038.000337174988,6009.99
777,6151.395668648563,6127.43
778,6277.956065734342,6320.62
779,6627.954285818619,6643.05
780,6923.54284852093,6959.67
781,7266.216542542951,7237.4
782,7450.952342301177,7456.44
783,7564.368585016553,7544.91
784,7536.161879759188,7615.68
785,7619.745742527149,7592.05
786,7541.898339890374,7524.57
787,7482.299010365441,7571.71
788,7551.512529797274,7572.54
789,7553.987039107634,7539.63
790,7535.377102578835,7522.5
791,7511.319802335706,7420.18
792,7368.017219641017,7419.49
793,7426.671524215915,7452.9
794,7443.761834389376,7419.0
795,7426.227716858757,7408.71
796,7471.438601842882,7439.93
797,7481.960432343401,7396.79
798,7452.152290904872,7456.09
799,7595.107352449987,7575.79
800,7753.49228851999,7750.4
801,7920.665230126428,8010.81
802,8283.41397666251,8238.2
803,8402.988967582749,8279.13
804,8391.034395547385,8324.82
805,8307.574407870183,8316.53
806,8243.260556629692,8156.93
807,8016.851435236604,7967.12
808,7794.783436186994,7802.77
809,7628.582030580213,7645.67
810,7490.697297859933,7447.57
811,7347.212903619027,7440.94
812,7368.776499090752,7335.89
813,7299.23242798251,7330.71
814,7226.129005095489,7305.72
815,7200.0255994609115,7129.77
816,7039.458641692454,7035.37
817,6875.705746255531,6870.65
818,6683.71118194478,6659.01
819,6427.467699840026,6393.85
820,6166.355194288691,6140.79
821,5994.167537858975,6054.59
822,6006.799087683222,5940.75
823,5933.3102763837005,5926.47
824,5972.842426980427,5972.1
825,6144.312452970917,6154.74
826,6331.096779646965,6283.58
827,6563.6345646043765,6684.44
828,7003.120648327752,7017.85
829,7375.3620707806585,7274.42
830,7482.256905447259,7493.39
831,7650.611344326063,7759.57
832,7902.565346129002,7936.57
833,7926.80179200206,7777.66
834,7735.350918243766,7823.84
835,7808.142954369341,7825.68
836,7794.401241384796,7703.67
837,7615.2263551594915,7591.7
838,7556.09765038303,7579.6
839,7653.264278346323,7725.36
840,7809.557110472208,7801.89
841,7853.181017389993,7958.34
842,8112.88829509715,7944.64
843,7958.936190616574,7892.93
844,7901.321425152779,7904.27
845,7933.265556938193,7819.49
846,7856.707611346395,7806.47
847,7905.4878207989805,7866.35
848,8010.984914121418,8016.38
849,8233.640949858614,8202.21
850,8344.766275964388,8358.23
851,8437.42275044497,8398.97
852,8393.063927133977,8362.32
853,8337.533009834304,8280.47
854,8207.219743311063,8061.35
855,7910.646274930725,7808.5
856,7676.845378987583,7645.67
857,7488.854061674768,7447.42
858,7302.069352447642,7225.9
859,7142.23407921679,7238.01
860,7156.632215881341,7111.39
861,7065.13675101418,7175.95
862,7083.895139859398,7104.38
863,7017.5472684684,7058.58
864,6924.636845640835,6966.54
865,6799.4937246362515,6763.01
866,6607.057626904244,6621.55
867,6383.247224762613,6326.81
868,6146.997943474562,6089.4
869,5941.186993824213,5914.38
870,5832.19812576874,5827.04
871,5788.114405884346,5865.08
872,5873.299848106662,5926.11
873,5994.042839624928,6069.26
874,6228.326527834656,6180.96
875,6356.8887071448435,6518.37
876,6752.586272416558,6796.83
877,7131.188169388178,7055.18
878,7234.642669904433,7268.84
879,7416.2815666451,7398.51
880,7461.413501083612,7510.03
881,7534.694802912455,7494.37
882,7439.478468403025,7487.23
883,7422.3303583361085,7496.68
884,7470.2959783100605,7582.55
885,7607.998889997791,7666.58
886,7752.282080226102,7764.02
887,7793.9874678727465,7759.81
888,7746.527604941106,7815.69
889,7862.239569930589,7689.62
890,7623.624614627293,7529.76
891,7540.797216542332,7569.61
892,7645.030385449097,7660.44
893,7772.049123681265,7791.16
894,7952.630029433234,7904.3
895,7999.255383425353,7994.75
896,8131.435841644147,8078.09
897,8156.879383737721,8181.41
898,8320.030796044033,8381.43
899,8511.41166981001,8391.14
900,8389.069152523401,8414.49
901,8376.285348766203,8291.1
902,8206.000502991197,8042.55
903,7895.082656697106,7866.8
904,7703.720326151013,7607.65
905,7462.732992529478,7472.61
906,7318.718145280418,7312.29
907,7216.832752734874,7343.34
908,7295.189624853814,7280.76
909,7207.57901712317,7367.14
910,7298.245053495667,7294.83
911,7184.919992689136,7186.49
912,7063.47738910753,7098.92
913,6934.55626522709,6924.96
914,6715.533706504853,6716.83
915,6456.571140549266,6430.69
916,6220.8511148295265,6158.1
917,6018.829494425303,6000.45
918,5944.199321945842,5871.08
919,5847.86733791363,5870.08
920,5883.5892909477725,5859.34
921,5929.580033383991,5943.17
922,6071.870551424703,5976.17
923,6125.928209254602,6210.55
924,6348.337113612467,6347.79
925,6557.316574015813,6456.28
